"","year","tmax","tmin","af","rain","sun","location"
"325",1943,9.33333333333333,3.83333333333333,2,81.2666666666667,56.6666666666667,"T03"
"326",1944,8.23333333333333,2.7,3.33333333333333,45,45.8666666666667,"T03"
"327",1945,7.43333333333333,1.6,7.66666666666667,74.6,43.4333333333333,"T03"
"328",1946,8.4,2.86666666666667,4.66666666666667,75.2666666666667,NA,"T03"
"329",1947,5.06666666666667,-0.133333333333333,13.3333333333333,60.0666666666667,NA,"T03"
"330",1948,7.2,2.23333333333333,6.33333333333333,99.2666666666667,39.1,"T03"
"331",1949,9.06666666666667,3,3.66666666666667,80,58.4333333333333,"T03"
"332",1950,8.33333333333333,2.46666666666667,5,77.6666666666667,44.9333333333333,"T03"
"333",1951,5.73333333333333,0.166666666666667,12.3333333333333,70.6,56.3,"T03"
"334",1952,7.13333333333333,0.966666666666667,13.3333333333333,82.5666666666667,47.8,"T03"
"335",1953,7.6,1.93333333333333,9.33333333333333,46.4333333333333,NA,"T03"
"336",1954,7.9,2.63333333333333,6.33333333333333,50.5,37.4333333333333,"T03"
"337",1955,6.66666666666667,1.13333333333333,9.66666666666667,44.0333333333333,49.2666666666667,"T03"
"338",1956,7.03333333333333,1,12,59.9,49.8,"T03"
"339",1957,8.63333333333333,2.6,6.33333333333333,101.3,55.5333333333333,"T03"
"340",1958,7.83333333333333,2.1,6.66666666666667,98.3333333333333,55.3,"T03"
"341",1959,7.3,0.966666666666667,10.6666666666667,71.0666666666667,58.4666666666667,"T03"
"342",1960,7.83333333333333,1.2,11.3333333333333,91.1666666666667,63.0666666666667,"T03"
"343",1961,7.8,1.56666666666667,7.66666666666667,82.3,62.2333333333333,"T03"
"344",1962,7.3,0.933333333333333,10.3333333333333,58.9,50.1,"T03"
"345",1963,4.6,-1.16666666666667,19.6666666666667,63.6333333333333,55.8666666666667,"T03"
"346",1964,7.33333333333333,2.1,7,33.1,47.6,"T03"
"347",1965,6.53333333333333,0.533333333333333,11.3333333333333,69.8,49.6333333333333,"T03"
"348",1966,7.2,2.3,5.33333333333333,94.2666666666667,41,"T03"
"349",1967,8.2,2.36666666666667,4.33333333333333,78.2666666666667,58.2333333333333,"T03"
"350",1968,6.9,1,13.3333333333333,63.0333333333333,55.7666666666667,"T03"
"351",1969,6,0.566666666666667,12.6666666666667,79.6,42.6666666666667,"T03"
"352",1970,6.36666666666667,0.766666666666667,12,85,45.9,"T03"
"353",1971,7.66666666666667,2.3,6.33333333333333,45.0333333333333,53.2333333333333,"T03"
"354",1972,7.66666666666667,1.96666666666667,7.66666666666667,60.4,44.8,"T03"
"355",1973,7.83333333333333,2.3,8.66666666666667,75.5666666666667,45.8,"T03"
"356",1974,8.13333333333333,2.63333333333333,5,81.7,45.9333333333333,"T03"
"357",1975,8.73333333333333,3.3,4,73.4333333333333,51.6666666666667,"T03"
"358",1976,7.73333333333333,2.83333333333333,6.66666666666667,45.8,34.2,"T03"
"359",1977,5.16666666666667,0.266666666666667,13.3333333333333,95.9666666666667,38.2,"T03"
"360",1978,6.6,1.66666666666667,8.66666666666667,64.6666666666667,48.8,"T03"
"361",1979,4.96666666666667,-0.2,16,82.3333333333333,52.3333333333333,"T03"
"362",1980,6.63333333333333,1.2,12.3333333333333,79.8666666666667,46.8333333333333,"T03"
"363",1981,7.63333333333333,2.13333333333333,6.66666666666667,66.0333333333333,40.2,"T03"
"364",1982,6.13333333333333,0.6,13,71.6,40.4333333333333,"T03"
"365",1983,6.93333333333333,1.33333333333333,10,75.0666666666667,49.8333333333333,"T03"
"366",1984,7.1,1.7,9.66666666666667,111.3,36.8666666666667,"T03"
